participant_id	song_id	Song Catergory	Valence	Arousal	Likeability	Familiarity	Remark
sub-06	t24	N	4	4	3	1	
sub-06	t05	HVHA	8	5	4	1	
sub-06	t27	LVLA	3	2	1	1	
sub-06	t06	N	8	5	4	1	
sub-06	t03	LVHA	7	6	4	2	
sub-06	t23	N	4	1	3	1	
sub-06	t01	HVHA	8	8	4	5	
sub-06	t25	HVLA	6	1	3	2	
sub-06	t30	HVHA	8	6	2	1	
sub-06	t18	LVHA	8	3	2	1	
sub-06	t26	N	7	2	2	1	
sub-06	t15	HVLA	4	1	4	1	
sub-06	t13	LVLA	1	1	4	1	
sub-06	t02	LVLA	4	1	2	1	
sub-06	t17	LVHA	9	9	3	1	
sub-07	t18	LVHA	3	3	2	1	
sub-07	t15	HVLA	7	5	4	2	
sub-07	t04	LVLA	4	2	2	1	
sub-07	t26	N	6	5	4	1	
sub-07	t05	HVHA	5	5	3	1	
sub-07	t06	N	6	1	3	1	
sub-07	t17	LVHA	2	2	1	1	
sub-07	t08	HVLA	6	5	4	1	
sub-07	t01	HVHA	8	8	5	4	
sub-07	t27	LVLA	1	1	1	1	
sub-07	t25	HVLA	7	5	4	1	
sub-07	t30	HVHA	7	6	4	1	
sub-07	t20	HVLA	6	1	3	1	
sub-07	t03	LVHA	1	5	1	1	
sub-07	t02	LVLA	1	2	1	1	
sub-07	t23	N	5	2	3	1	
sub-07	t24	N	2	2	1	1	
sub-07	t07	LVHA	5	5	3	1	
sub-07	t09	HVHA	7	6	4	1	
sub-07	t13	LVLA	4	1	4	1	
sub-08	t20	HVLA	7	3	4	3	
sub-08	t17	LVHA	9	8	3	4	
sub-08	t13	LVLA	4	3	3	2	
sub-08	t02	LVLA	1	6	1	1	
sub-08	t24	N	4	4	2	2	
sub-08	t30	HVHA	7	6	3	3	
sub-08	t01	HVHA	5	6	2	5	
sub-08	t18	LVHA	3	8	3	3	
sub-08	t15	HVLA	8	1	4	4	
sub-08	t23	N	5	4	3	3	
sub-08	t09	HVHA	7	6	4	3	
sub-08	t07	LVHA	7	7	3	4	
sub-08	t05	HVHA	8	8	4	4	
sub-08	t25	HVLA	5	2	3	3	
sub-08	t27	LVLA	2	7	1	3	
sub-08	t04	LVLA	3	3	3	3	
sub-08	t06	N	6	5	3	4	
sub-08	t26	N	6	6	4	4	
sub-08	t08	HVLA	5	2	3	5	
sub-08	t03	LVHA	3	8	2	3	
sub-09	t05	HVHA	9	9	5	1	
sub-09	t30	HVHA	8	9	5	1	
sub-09	t06	N	6	3	4	1	
sub-09	t07	LVHA	2	5	4	1	
sub-09	t03	LVHA	1	7	4	1	
sub-09	t24	N	8	1	4	1	
sub-09	t13	LVLA	2	2	3	1	
sub-09	t15	HVLA	8	5	5	1	
sub-09	t25	HVLA	7	2	4	1	
sub-09	t04	LVLA	5	3	4	1	
sub-09	t26	N	8	6	5	1	
sub-09	t09	HVHA	8	9	5	3	
sub-09	t18	LVHA	8	8	4	2	
sub-09	t08	HVLA	5	3	4	2	
sub-09	t17	LVHA	8	8	4	3	
sub-09	t23	N	2	2	3	1	
sub-09	t20	HVLA	7	2	3	1	
sub-09	t27	LVLA	5	2	2	1	
sub-09	t02	LVLA	2	2	2	1	
sub-09	t01	HVHA	8	7	5	4	
sub-10	t30	HVHA	7	7	4	1	
sub-10	t15	HVLA	5	3	4	3	
sub-10	t01	HVHA	7	7	4	4	
sub-10	t23	N	5	2	4	1	
sub-10	t02	LVLA	5	6	2	1	
sub-10	t13	LVLA	5	3	4	1	
sub-10	t08	HVLA	7	2	4	1	
sub-10	t18	LVHA	7	8	4	1	
sub-10	t24	N	5	2	3	1	
sub-10	t03	LVHA	7	8	4	1	
sub-10	t17	LVHA	7	7	4	2	
sub-10	t07	LVHA	4	4	3	1	
sub-10	t06	N	5	5	4	1	
sub-10	t26	N	5	5	3	1	
sub-10	t09	HVHA	7	6	3	1	
sub-10	t25	HVLA	5	3	3	1	
sub-10	t20	HVLA	5	2	3	2	
sub-10	t04	LVLA	4	3	3	1	
sub-10	t27	LVLA	4	4	2	1	
sub-10	t05	HVHA	8	8	4	1	
sub-11	t02	LVLA	2	5	1	1	
sub-11	t25	HVLA	8	2	4	1	
sub-11	t27	LVLA	3	3	2	1	
sub-11	t01	HVHA	8	8	5	5	
sub-11	t15	HVLA	9	8	5	2	
sub-11	t07	LVHA	4	6	3	1	
sub-11	t17	LVHA	6	9	4	1	
sub-11	t24	N	7	2	4	1	
sub-11	t26	N	8	8	4	1	
sub-11	t30	HVHA	9	9	4	1	
sub-11	t05	HVHA	8	8	4	1	
sub-11	t23	N	5	2	3	1	
sub-11	t08	HVLA	9	2	5	1	
sub-11	t04	LVLA	3	5	2	1	
sub-11	t18	LVHA	4	8	3	1	
sub-11	t09	HVHA	8	8	4	1	
sub-11	t03	LVHA	1	6	1	1	
sub-11	t13	LVLA	4	3	3	1	
sub-11	t06	N	9	2	4	1	
sub-11	t20	HVLA	9	1	5	1	
sub-12	t20	HVLA	9	1	4	1	
sub-12	t02	LVLA	3	5	3	1	
sub-12	t23	N	5	3	4	1	
sub-12	t24	N	5	3	3	1	
sub-12	t18	LVHA	5	8	4	1	
sub-12	t01	HVHA	9	7	5	5	
sub-12	t05	HVHA	9	8	5	1	
sub-12	t03	LVHA	4	8	3	1	
sub-12	t08	HVLA	8	1	5	1	
sub-12	t13	LVLA	4	2	3	1	
sub-12	t09	HVHA	9	6	5	1	
sub-12	t04	LVLA	5	5	4	1	
sub-12	t27	LVLA	5	3	4	1	
sub-12	t06	N	8	1	5	2	
sub-12	t30	HVHA	9	8	4	2	
sub-12	t26	N	9	5	5	1	
sub-12	t25	HVLA	9	1	5	1	
sub-12	t17	LVHA	7	9	3	2	
sub-12	t15	HVLA	9	1	5	1	
sub-12	t07	LVHA	3	9	3	1	
sub-13	t20	HVLA	8	1	5	2	
sub-13	t06	N	7	1	5	4	
sub-13	t09	HVHA	5	7	5	2	
sub-13	t07	LVHA	2	5	3	2	
sub-13	t13	LVLA	2	2	3	1	
sub-13	t25	HVLA	9	1	5	3	
sub-13	t03	LVHA	3	5	3	2	
sub-13	t27	LVLA	4	2	3	1	
sub-13	t23	N	9	1	5	4	
sub-13	t30	HVHA	9	7	4	4	
sub-13	t01	HVHA	7	7	4	4	
sub-13	t24	N	5	1	4	2	
sub-13	t04	LVLA	2	2	3	2	
sub-13	t26	N	7	5	5	1	
sub-13	t17	LVHA	5	8	4	3	
sub-13	t08	HVLA	5	5	4	2	
sub-13	t02	LVLA	3	4	2	2	
sub-13	t05	HVHA	7	7	4	3	
sub-13	t18	LVHA	5	7	4	2	
sub-13	t15	HVLA	8	1	5	4	
sub-14	t08	HVLA	8	2	5	1	
sub-14	t13	LVLA	5	4	3	1	
sub-14	t27	LVLA	9	8	4	1	
sub-14	t09	HVHA	5	5	4	1	
sub-14	t06	N	7	3	4	2	
sub-14	t24	N	7	8	5	1	
sub-14	t07	LVHA	4	2	3	1	
sub-14	t15	HVLA	8	8	4	1	
sub-14	t05	HVHA	2	8	2	1	
sub-14	t03	LVHA	5	4	3	2	
sub-14	t04	LVLA	7	2	5	4	
sub-14	t20	HVLA	6	1	4	1	
sub-14	t26	N	8	5	4	1	
sub-14	t25	HVLA	8	2	3	1	
sub-14	t17	LVHA	3	7	3	1	
sub-14	t18	LVHA	3	5	2	1	
sub-14	t02	LVLA	1	5	1	1	
sub-14	t30	HVHA	7	6	5	1	
sub-14	t01	HVHA	9	8	5	4	
sub-14	t23	N	5	2	4	1	
sub-15	t02	LVLA	5	3	1	1	
sub-15	t30	HVHA	9	8	4	3	
sub-15	t04	LVLA	5	4	4	3	
sub-15	t24	N	6	2	4	3	
sub-15	t25	HVLA	7	4	5	3	
sub-15	t07	LVHA	6	6	3	2	
sub-15	t17	LVHA	5	8	3	3	
sub-15	t09	HVHA	7	9	3	2	
sub-15	t06	N	6	3	4	3	
sub-15	t20	HVLA	6	2	4	3	
sub-15	t18	LVHA	6	6	4	2	
sub-15	t15	HVLA	8	3	5	3	
sub-15	t13	LVLA	4	5	4	5	
sub-15	t03	LVHA	2	5	2	2	
sub-15	t01	HVHA	7	7	4	5	
sub-15	t26	N	6	4	5	3	
sub-15	t27	LVLA	4	1	2	1	
sub-15	t08	HVLA	6	3	4	2	
sub-15	t05	HVHA	8	9	4	3	
sub-15	t23	N	5	2	3	1	
sub-16	t23	N	5	6	3	3	
sub-16	t08	HVLA	8	2	5	3	
sub-16	t09	HVHA	7	8	4	3	
sub-16	t07	LVHA	5	6	4	4	
sub-16	t03	LVHA	6	6	4	3	
sub-16	t24	N	5	4	4	3	
sub-16	t27	LVLA	6	2	5	3	
sub-16	t01	HVHA	9	9	4	4	
sub-16	t13	LVLA	6	2	4	3	
sub-16	t20	HVLA	6	2	4	3	
sub-16	t18	LVHA	5	7	3	3	
sub-16	t15	HVLA	6	4	4	4	
sub-16	t06	N	6	6	3	4	
sub-16	t30	HVHA	6	6	3	3	
sub-16	t04	LVLA	6	2	5	4	
sub-16	t25	HVLA	6	4	4	4	
sub-16	t17	LVHA	4	5	1	2	
sub-16	t02	LVLA	4	6	1	2	
sub-16	t05	HVHA	6	7	2	4	
sub-16	t26	N	6	5	4	4	
sub-17	t02	LVLA	7	7	2	1	
sub-17	t30	HVHA	9	8	4	3	
sub-17	t25	HVLA	8	5	4	3	
sub-17	t07	LVHA	3	7	4	2	
sub-17	t08	HVLA	6	1	4	2	
sub-17	t27	LVLA	5	2	4	1	
sub-17	t26	N	8	6	5	2	
sub-17	t01	HVHA	6	8	4	4	
sub-17	t23	N	5	3	4	2	
sub-17	t18	LVHA	4	9	4	2	
sub-17	t13	LVLA	4	3	3	2	
sub-17	t24	N	5	2	2	1	
sub-17	t20	HVLA	6	2	4	2	
sub-17	t06	N	7	2	4	3	
sub-17	t04	LVLA	5	4	4	2	
sub-17	t05	HVHA	9	9	4	2	
sub-17	t17	LVHA	4	9	3	3	missing EEG data
sub-17	t09	HVHA	7	9	4	2	
sub-17	t03	LVHA	4	8	4	2	
sub-17	t15	HVLA	6	5	4	3	
sub-18	t18	LVHA	7	8	4	2	
sub-18	t13	LVLA	6	2	4	3	
sub-18	t30	HVHA	9	8	4	3	
sub-18	t15	HVLA	4	2	3	1	
sub-18	t04	LVLA	5	1	4	2	
sub-18	t20	HVLA	7	1	3	3	
sub-18	t26	N	7	7	5	4	
sub-18	t03	LVHA	1	5	3	3	
sub-18	t06	N	7	4	3	2	
sub-18	t01	HVHA	9	8	3	5	
sub-18	t25	HVLA	8	3	4	3	
sub-18	t08	HVLA	7	1	3	4	
sub-18	t02	LVLA	2	4	1	1	
sub-18	t05	HVHA	9	8	4	2	
sub-18	t27	LVLA	4	2	3	2	
sub-18	t07	LVHA	5	4	3	2	
sub-18	t09	HVHA	9	8	3	2	
sub-18	t17	LVHA	3	9	4	4	
sub-18	t24	N	6	2	3	2	
sub-18	t23	N	6	1	3	3	
sub-19	t24	N	6	2	3	2	
sub-19	t08	HVLA	3	6	2	2	
sub-19	t20	HVLA	7	2	5	2	
sub-19	t07	LVHA	6	5	3	2	
sub-19	t01	HVHA	9	6	5	5	
sub-19	t18	LVHA	2	7	2	4	
sub-19	t27	LVLA	2	8	2	2	
sub-19	t04	LVLA	3	6	3	2	
sub-19	t30	HVHA	8	7	4	3	
sub-19	t06	N	6	2	4	2	
sub-19	t03	LVHA	2	7	1	1	
sub-19	t26	N	8	4	3	1	
sub-19	t17	LVHA	3	8	2	2	
sub-19	t25	HVLA	7	3	4	2	
sub-19	t09	HVHA	9	7	4	2	
sub-19	t13	LVLA	4	4	4	2	
sub-19	t05	HVHA	9	8	5	2	
sub-19	t15	HVLA	7	2	4	2	
sub-19	t02	LVLA	5	4	4	2	
sub-19	t23	N	6	2	5	2	
sub-20	t02	LVLA	5	5	3	1	
sub-20	t13	LVLA	7	6	4	2	
sub-20	t26	N	8	7	5	4	
sub-20	t23	N	6	4	3	3	
sub-20	t18	LVHA	8	7	4	3	
sub-20	t20	HVLA	8	2	4	4	
sub-20	t01	HVHA	7	7	4	4	
sub-20	t30	HVHA	8	8	4	4	
sub-20	t07	LVHA	7	7	4	3	
sub-20	t15	HVLA	8	7	4	4	
sub-20	t27	LVLA	6	5	3	3	
sub-20	t05	HVHA	8	7	4	4	
sub-20	t24	N	6	5	4	3	
sub-20	t25	HVLA	8	2	5	4	
sub-20	t17	LVHA	7	8	3	3	
sub-20	t04	LVLA	7	1	4	3	
sub-20	t03	LVHA	5	5	2	3	
sub-20	t09	HVHA	8	6	4	4	
sub-20	t06	N	8	1	5	4	
sub-20	t08	HVLA	7	2	4	3	
