participant_id	song_id	Song Catergory	Valence	Arousal	Likeability	Familiarity	Remark
sub-01	t27	LVLA	6	1	0	0	0 = data missing
sub-01	t30	HVHA	8	8	5	3	
sub-01	t05	HVHA	7	6	3	3	
sub-01	t04	LVLA	3	3	4	2	
sub-01	t15	HVLA	5	3	3	1	
sub-01	t23	N	4	2	4	2	
sub-01	t25	HVLA	6	2	4	2	
sub-01	t03	LVHA	7	7	5	1	
sub-01	t26	N	6	6	5	1	
sub-01	t07	LVHA	3	7	5	1	
sub-01	t18	LVHA	6	7	4	1	
sub-01	t13	LVLA	6	2	5	2	
sub-01	t06	N	5	2	4	2	
sub-01	t20	HVLA	4	1	3	2	
sub-01	t01	HVHA	7	6	4	2	
sub-01	t17	LVHA	6	8	2	2	
sub-01	t02	LVLA	2	3	1	1	
sub-01	t09	HVHA	6	7	3	2	
sub-01	t24	N	5	2	4	2	
sub-01	t08	HVLA	7	2	5	3	
sub-02	t30	HVHA	9	7	5	2	
sub-02	t15	HVLA	6	6	3	3	
sub-02	t27	LVLA	5	4	4	2	
sub-02	t02	LVLA	4	6	2	2	
sub-02	t24	N	5	2	3	3	
sub-02	t17	LVHA	9	9	3	3	
sub-02	t20	HVLA	5	2	4	3	
sub-02	t01	HVHA	9	9	5	5	
sub-02	t26	N	8	6	4	3	
sub-02	t18	LVHA	9	9	3	3	
sub-02	t06	N	7	6	4	2	
sub-02	t25	HVLA	5	3	3	2	
sub-02	t05	HVHA	9	9	4	3	
sub-02	t03	LVHA	2	8	2	2	
sub-02	t23	N	6	2	5	4	
sub-02	t07	LVHA	3	7	3	3	
sub-02	t09	HVHA	9	9	5	3	
sub-02	t04	LVLA	5	2	3	3	
sub-02	t13	LVLA	6	6	4	3	
sub-02	t08	HVLA	7	1	4	3	
sub-03	t30	HVHA	9	9	5	4	
sub-03	t07	LVHA	5	6	4	4	
sub-03	t17	LVHA	5	8	4	3	
sub-03	t15	HVLA	9	2	5	3	
sub-03	t26	N	9	3	5	4	
sub-03	t25	HVLA	6	3	3	2	
sub-03	t23	N	4	3	2	2	
sub-03	t02	LVLA	2	5	1	2	
sub-03	t09	HVHA	9	8	4	3	
sub-03	t13	LVLA	6	4	3	4	
sub-03	t01	HVHA	9	7	4	5	
sub-03	t05	HVHA	9	8	4	2	
sub-03	t18	LVHA	5	6	2	2	
sub-03	t03	LVHA	3	7	2	2	
sub-03	t04	LVLA	4	2	3	3	
sub-03	t27	LVLA	5	2	3	2	
sub-03	t24	N	6	2	5	3	
sub-03	t08	HVLA	9	1	5	4	
sub-03	t06	N	8	3	5	3	
sub-03	t20	HVLA	8	1	4	4	
sub-04	t07	LVHA	4	6	4	1	
sub-04	t09	HVHA	7	8	3	2	
sub-04	t27	LVLA	3	3	3	2	
sub-04	t17	LVHA	6	7	2	2	
sub-04	t24	N	6	4	4	3	
sub-04	t25	HVLA	9	3	4	4	
sub-04	t06	N	8	2	4	4	
sub-04	t13	LVLA	6	1	5	4	
sub-04	t15	HVLA	7	3	3	2	
sub-04	t30	HVHA	6	8	2	2	
sub-04	t18	LVHA	5	7	3	3	
sub-04	t03	LVHA	4	5	3	2	
sub-04	t04	LVLA	4	4	4	2	
sub-04	t05	HVHA	8	7	2	2	
sub-04	t08	HVLA	6	2	4	4	
sub-04	t26	N	6	6	3	3	
sub-04	t20	HVLA	8	2	4	5	
sub-04	t02	LVLA	2	4	1	1	
sub-04	t01	HVHA	7	7	4	5	
sub-04	t23	N	6	3	4	2	
sub-05	t25	HVLA	9	3	4	1	
sub-05	t06	N	7	5	3	1	
sub-05	t04	LVLA	5	6	5	1	
sub-05	t02	LVLA	2	6	1	1	
sub-05	t30	HVHA	9	8	5	1	
sub-05	t26	N	7	7	4	1	
sub-05	t20	HVLA	9	2	5	1	
sub-05	t07	LVHA	5	8	3	1	
sub-05	t18	LVHA	5	9	3	1	
sub-05	t01	HVHA	9	9	4	4	
sub-05	t03	LVHA	4	7	3	1	
sub-05	t15	HVLA	7	5	4	1	
sub-05	t17	LVHA	6	9	3	1	
sub-05	t08	HVLA	9	2	5	1	
sub-05	t09	HVHA	9	8	4	1	
sub-05	t13	LVLA	6	3	4	1	
sub-05	t23	N	6	1	4	1	
sub-05	t24	N	3	4	1	1	
sub-05	t05	HVHA	9	9	5	1	
sub-05	t27	LVLA	2	2	1	1	
sub-06	t04	LVLA	3	1	5	1	
sub-06	t08	HVLA	9	1	5	1	
sub-06	t09	HVHA	9	6	2	1	
sub-06	t07	LVHA	1	3	3	1	
sub-06	t20	HVLA	6	1	4	1	
